2209061050,"x=2,y=2,z=1","x=-995,y=13821,z=15164","x=-35,y=129,z=-104",950.37,35.62,66.72,0.02,260,14.51,29738
2209061050,"x=2,y=2,z=1","x=-995,y=13821,z=15164","x=-35,y=129,z=-104",950.37,35.62,66.72,0.02,260,14.51,29738
2209061051,"x=2,y=2,z=1","x=-995,y=13821,z=15164","x=-35,y=129,z=-104",950.37,35.62,66.72,0.02,260,14.51,29738
2209061051,"x=2,y=2,z=1","x=-995,y=13821,z=15164","x=-35,y=129,z=-104",950.37,35.62,66.72,0.02,260,14.51,29738
2209061051,"x=2,y=2,z=1","x=-995,y=13821,z=15164","x=-35,y=129,z=-104",950.37,35.62,66.72,0.02,260,14.51,29738
2209061051,"x=2,y=2,z=1","x=-995,y=13821,z=15164","x=-35,y=129,z=-104",950.37,35.62,66.72,0.02,260,14.51,29738
2209061051,"x=2,y=2,z=1","x=-995,y=13821,z=15164","x=-35,y=129,z=-104",950.37,35.62,66.72,0.02,260,14.51,29738
2209061053,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061053,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061054,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061054,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061054,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061054,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061055,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061055,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061055,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061055,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061055,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061056,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061056,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061056,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061056,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061056,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061057,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061057,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061057,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061057,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061057,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061058,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061058,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061058,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061058,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061058,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061059,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061059,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061059,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061059,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061059,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061100,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061100,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061100,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061100,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061100,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061101,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061101,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061101,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061101,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061102,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061102,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061102,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061102,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061102,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061103,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061103,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061103,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061103,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061103,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061104,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061104,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061104,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061104,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061104,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061105,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061105,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061105,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061105,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061106,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061106,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061106,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061106,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061106,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061107,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061107,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061107,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061107,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061107,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061108,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061108,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061108,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061108,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061109,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061109,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061109,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061109,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061109,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061110,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061110,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061110,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061110,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061110,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061111,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061111,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061111,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061111,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061111,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061112,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061112,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061112,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061112,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061113,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061113,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
2209061113,"x=-1,y=0,z=1","x=-1110,y=13790,z=15181","x=-36,y=127,z=-106",951.33,34.95,69.71,0.02,259,12.56,29783
